"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil, Unidade da Federação e Município";"2022"
"Brasil, Unidade da Federação e Município";"Soja (em grão)"
"Brasil";"120701031"
"Rondônia";"1750249"
"Acre";"22667"
"Amazonas";"13740"
"Roraima";"346647"
"Pará";"2574954"
"Amapá";"18035"
"Tocantins";"3785386"
"Maranhão";"3537377"
"Piauí";"3077485"
"Ceará";"7740"
"Rio Grande do Norte";"-"
"Paraíba";"56"
"Pernambuco";"-"
"Alagoas";"11242"
"Sergipe";"-"
"Bahia";"6074022"
"Minas Gerais";"7639648"
"Espírito Santo";"200"
"Rio de Janeiro";"953"
"Guanabara";"..."
"São Paulo";"4478064"
"Paraná";"13749625"
"Santa Catarina";"2159405"
"Rio Grande do Sul";"9370274"
"Mato Grosso do Sul";"8538611"
"Mato Grosso";"38025387"
"Goiás";"15216144"
"Distrito Federal";"303120"
"Alta Floresta D'Oeste (RO)";"4915"
"Ariquemes (RO)";"31732"
"Cabixi (RO)";"108000"
"Cacoal (RO)";"9378"
"Cerejeiras (RO)";"130000"
"Colorado do Oeste (RO)";"12383"
"Corumbiara (RO)";"157800"
"Costa Marques (RO)";"1654"
"Espigão D'Oeste (RO)";"4320"
"Guajará-Mirim (RO)";"-"
"Jaru (RO)";"608"
"Ji-Paraná (RO)";"1290"
"Machadinho D'Oeste (RO)";"58162"
"Nova Brasilândia D'Oeste (RO)";"6567"
"Ouro Preto do Oeste (RO)";"6600"
"Pimenta Bueno (RO)";"12468"
"Porto Velho (RO)";"112000"
"Presidente Médici (RO)";"100"
"Rio Crespo (RO)";"119491"
"Rolim de Moura (RO)";"15454"
"Santa Luzia D'Oeste (RO)";"21226"
"Vilhena (RO)";"160320"
"São Miguel do Guaporé (RO)";"71000"
"Nova Mamoré (RO)";"16344"
"Alvorada D'Oeste (RO)";"1336"
"Alto Alegre dos Parecis (RO)";"10771"
"Alto Paraíso (RO)";"84751"
"Buritis (RO)";"2343"
"Novo Horizonte do Oeste (RO)";"6311"
"Cacaulândia (RO)";"-"
"Campo Novo de Rondônia (RO)";"760"
"Candeias do Jamari (RO)";"62370"
"Castanheiras (RO)";"15058"
"Chupinguaia (RO)";"155000"
"Cujubim (RO)";"65224"
"Governador Jorge Teixeira (RO)";"-"
"Itapuã do Oeste (RO)";"48807"
"Ministro Andreazza (RO)";"-"
"Mirante da Serra (RO)";"1728"
"Monte Negro (RO)";"-"
"Nova União (RO)";"16"
"Parecis (RO)";"9000"
"Pimenteiras do Oeste (RO)";"173200"
"Primavera de Rondônia (RO)";"4294"
"São Felipe D'Oeste (RO)";"5676"
"São Francisco do Guaporé (RO)";"11689"
"Seringueiras (RO)";"21278"
"Teixeirópolis (RO)";"-"
"Theobroma (RO)";"3276"
"Urupá (RO)";"-"
"Vale do Anari (RO)";"5549"
"Vale do Paraíso (RO)";"-"
"Acrelândia (AC)";"-"
"Assis Brasil (AC)";"-"
"Brasiléia (AC)";"-"
"Bujari (AC)";"-"
"Capixaba (AC)";"4028"
"Cruzeiro do Sul (AC)";"-"
"Epitaciolândia (AC)";"-"
"Feijó (AC)";"-"
"Jordão (AC)";"-"
"Mâncio Lima (AC)";"-"
"Manoel Urbano (AC)";"-"
"Marechal Thaumaturgo (AC)";"-"
"Plácido de Castro (AC)";"10230"
"Porto Walter (AC)";"-"
"Rio Branco (AC)";"5100"
"Rodrigues Alves (AC)";"-"
"Santa Rosa do Purus (AC)";"-"
